Date,Adj Close,,,P,,,,
02-01-2019,17676.84961,1.073212487,17676.84961,19915.63091,0.792026567,,17101.46182,536.1359448
03-01-2019,17530.25,0.799775105,17557.79722,19781.50048,0.575986969,,19423.89297,620.8604174
04-01-2019,17636.59961,0.998138244,17605.46899,19835.2099,0.662495016,,,
07-01-2019,17658.15039,1.038334732,17835.73914,20094.64388,1.080357022,,0.963390164,
08-01-2019,17634.40039,0.994036266,17869.43819,20132.61092,1.141509326,,,
09-01-2019,17621.30078,0.969602892,17734.56351,19980.65431,0.896757666,,,
10-01-2019,17691.15039,1.099886285,17615.88057,19846.94012,0.681388504,,,
11-01-2019,17655.65039,1.033671736,17524.78852,19744.31121,0.516087406,,,
14-01-2019,17587.5,0.906557723,17496.82407,19712.80506,0.46534145,,,
15-01-2019,17705.05078,1.125813273,17704.92242,19947.25916,0.842969167,,,
16-01-2019,17685.84961,1.089999274,17857.87409,20119.58223,1.120524427,,,
17-01-2019,17635.84961,0.996739345,17597.04358,19825.71742,0.64720578,,,
18-01-2019,17517.19922,0.775432807,17490.24222,19705.38961,0.453397626,,,
21-01-2019,17378.19922,0.516170205,17616.21088,19847.31226,0.681987894,,,
22-01-2019,17359.15039,0.480640358,17555.51589,19778.93022,0.571847142,,,
23-01-2019,17340,0.444921076,17513.4949,19731.58725,0.495593329,,,
24-01-2019,17281.15039,0.335154869,17286.57919,19475.93257,0.083818516,,,
25-01-2019,17012.5,-0.165931457,17136.54223,19306.89335,-0.188447543,,,
28-01-2019,16655.65039,-0.831526839,16662.40384,18772.70511,-1.048847441,,,
29-01-2019,16706.55078,-0.736587504,16746.56784,18867.52853,-0.896118397,,,
30-01-2019,16792.30078,-0.576646726,16993.64359,19145.89653,-0.447759957,,,
31-01-2019,16904.75,-0.366906603,17452.59608,19662.97557,0.385082698,,,
01-02-2019,16990.25,-0.207432125,17374.98146,19575.53103,0.244238564,,,
04-02-2019,16840,-0.487678211,17211.56939,19391.42274,-0.052298764,,,
05-02-2019,16710,-0.730154026,17161.36547,19334.86047,-0.143401802,,,
06-02-2019,16720.80078,-0.710008424,16878.9286,19016.65283,-0.655928651,,,
07-02-2019,16845,-0.478352218,17022.7317,19178.66866,-0.394974938,,,
08-02-2019,16597.19922,-0.940549882,16811.27019,18940.42546,-0.778705644,,,
11-02-2019,16319.59961,-1.458328278,16466.65099,18552.16007,-1.404072269,,,
12-02-2019,16328.15039,-1.442379372,16473.39549,18559.75876,-1.391833305,,,
14-02-2019,16372.25,-1.360124844,16504.46899,18594.76773,-1.335445473,,,
15-02-2019,16214.65039,-1.65407941,16164.66875,18211.93164,-1.95206732,,,
18-02-2019,16063.34961,-1.936285413,16237.48966,18293.97535,-1.819922142,,,
19-02-2019,16132.75,-1.806839903,16276.80252,18338.2672,-1.748582668,,,
20-02-2019,16299.65039,-1.495537531,16411.01361,18489.47619,-1.505035185,,,
21-02-2019,16476.30078,-1.166049476,16584.94133,18685.43194,-1.189415541,,,
22-02-2019,16543.15039,-1.041361679,16749.99229,18871.38668,-0.889904192,,,
25-02-2019,16601.90039,-0.931781262,16790.5659,18917.09895,-0.816276898,,,
26-02-2019,16578.5,-0.975427638,16630.71274,18737.00032,-1.106355999,,,
27-02-2019,16645.40039,-0.850645124,16610.36978,18714.08091,-1.143271558,,,
28-02-2019,16721.09961,-0.709451051,16524.25695,18617.06185,-1.299537056,,,
01-03-2019,16962.44922,-0.259286102,17081.76139,19245.17449,-0.28785613,,,
05-03-2019,17363.65039,0.489033752,17542.56641,19764.34069,0.548348245,,,
06-03-2019,17463.90039,0.676019909,17749.17259,19997.11363,0.92326817,,,
07-03-2019,17411.75,0.578749074,17732.20519,19977.9973,0.892478112,,,
08-03-2019,17379.15039,0.51794433,17549.09978,19771.7015,0.560204075,,,
11-03-2019,17750.44922,1.210490374,17916.73817,20185.90148,1.227342711,,,
12-03-2019,17831.94922,1.362504058,18182.71889,20485.56877,1.710007232,,,
13-03-2019,17733.44922,1.178781999,17960.21016,20234.87921,1.306229575,,,
14-03-2019,17748.5,1.206854694,18060.47355,20347.84101,1.488173534,,,
15-03-2019,17863.25,1.42088623,18067.7579,20356.04793,1.50139215,1.022114138,,
